"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
"Generally a quake must measure 6 to do severe damage .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
BC-Israel-Earthquake | Minor Tremor In Northern Israel .",0
"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
"JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
Generally a quake must measure 6 to do severe damage .
BC-Israel-Earthquake | Minor Tremor In Northern Israel .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .",0
"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
"`` It was quite small and it is quite surprising that people felt it , '' Shapira said .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Generally a quake must measure 6 to do severe damage .
BC-Israel-Earthquake | Minor Tremor In Northern Israel .",0
"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
"JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
Generally a quake must measure 6 to do severe damage .
BC-Israel-Earthquake | Minor Tremor In Northern Israel .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",0
"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
"JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
BC-Israel-Earthquake | Minor Tremor In Northern Israel .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
Generally a quake must measure 6 to do severe damage .",0
"BC-Israel-Earthquake | Minor Tremor In Northern Israel .
JERUSALEM -LRB- AP -RRB- A minor earthquake struck northern Israel Thursday but caused no damage or injuries , an official said .
Ami Shapira of the Israel Seismological Institute said the quake 's epicenter was 20 kilometers -LRB- 12 miles -RRB- east of Haifa and was felt in some of the city 's suburbs at 15:32 -LRB- 13:32 GMT -RRB- .
He said it measured 3 on the Richter scale , which is a gauge of the energy released by an earthquake as measured by ground motion recorded on a seismograph .
Generally a quake must measure 6 to do severe damage .
`` It was quite small and it is quite surprising that people felt it , '' Shapira said .",1
